x y solution
0 -0.00392157 0
0.00392157 -0.00392157 0
0.00784314 -0.00392157 0
0.0117647 -0.00392157 0
0.0156863 -0.00392157 0
0.0196078 -0.00392157 0
0.0235294 -0.00392157 0
0.027451 -0.00392157 0
0.0313725 -0.00392157 0
0.0352941 -0.00392157 0
0.0392157 -0.00392157 0
0.0431373 -0.00392157 0
0.0470588 -0.00392157 0
0.0509804 -0.00392157 0
0.054902 -0.00392157 0
0.0588235 -0.00392157 0
0.0627451 -0.00392157 0
0.0666667 -0.00392157 0
0.0705882 -0.00392157 0
0.0745098 -0.00392157 0
0.0784314 -0.00392157 0
0.0823529 -0.00392157 0
0.0862745 -0.00392157 0
0.0901961 -0.00392157 0
0.0941176 -0.00392157 0
0.0980392 -0.00392157 0
0.101961 -0.00392157 0
0.105882 -0.00392157 0
0.109804 -0.00392157 0
0.113725 -0.00392157 0
0.117647 -0.00392157 0
0.121569 -0.00392157 0
0.12549 -0.00392157 0
0.129412 -0.00392157 0
0.133333 -0.00392157 0
0.137255 -0.00392157 0
0.141176 -0.00392157 0
0.145098 -0.00392157 0
0.14902 -0.00392157 0
0.152941 -0.00392157 0
0.156863 -0.00392157 0
0.160784 -0.00392157 0
0.164706 -0.00392157 0
0.168627 -0.00392157 0
0.172549 -0.00392157 0
0.176471 -0.00392157 0
0.180392 -0.00392157 0
0.184314 -0.00392157 0
0.188235 -0.00392157 0
0.192157 -0.00392157 0
0.196078 -0.00392157 0
0.2 -0.00392157 0
0.203922 -0.00392157 0
0.207843 -0.00392157 0
0.211765 -0.00392157 0
0.215686 -0.00392157 0
0.219608 -0.00392157 0
0.223529 -0.00392157 0
0.227451 -0.00392157 0
0.231373 -0.00392157 0
0.235294 -0.00392157 0
0.239216 -0.00392157 0
0.243137 -0.00392157 0
0.247059 -0.00392157 0
0.25098 -0.00392157 0
0.254902 -0.00392157 0
0.258824 -0.00392157 0
0.262745 -0.00392157 0
0.266667 -0.00392157 0
0.270588 -0.00392157 0
0.27451 -0.00392157 0
0.278431 -0.00392157 0
0.282353 -0.00392157 0
0.286275 -0.00392157 0
0.290196 -0.00392157 0
0.294118 -0.00392157 0
0.298039 -0.00392157 0
0.301961 -0.00392157 0
0.305882 -0.00392157 0
0.309804 -0.00392157 0
0.313725 -0.00392157 0
0.317647 -0.00392157 0
0.321569 -0.00392157 0
0.32549 -0.00392157 0
0.329412 -0.00392157 0
0.333333 -0.00392157 0
0.337255 -0.00392157 0
0.341176 -0.00392157 0
0.345098 -0.00392157 0
0.34902 -0.00392157 0
0.352941 -0.00392157 0
0.356863 -0.00392157 0
0.360784 -0.00392157 0
0.364706 -0.00392157 0
0.368627 -0.00392157 0
0.372549 -0.00392157 0
0.376471 -0.00392157 0
0.380392 -0.00392157 0
0.384314 -0.00392157 0
0.388235 -0.00392157 0
0.392157 -0.00392157 0
0.396078 -0.00392157 0
0.4 -0.00392157 0
0.403922 -0.00392157 0
0.407843 -0.00392157 0
0.411765 -0.00392157 0
0.415686 -0.00392157 0
0.419608 -0.00392157 0
0.423529 -0.00392157 0
0.427451 -0.00392157 0
0.431373 -0.00392157 0
0.435294 -0.00392157 0
0.439216 -0.00392157 0
0.443137 -0.00392157 0
0.447059 -0.00392157 0
0.45098 -0.00392157 0
0.454902 -0.00392157 0
0.458824 -0.00392157 0
0.462745 -0.00392157 0
0.466667 -0.00392157 0
0.470588 -0.00392157 0
0.47451 -0.00392157 0
0.478431 -0.00392157 0
0.482353 -0.00392157 0
0.486275 -0.00392157 0
0.490196 -0.00392157 0
0.494118 -0.00392157 0
0.498039 -0.00392157 0
0.501961 -0.00392157 0
0.505882 -0.00392157 0
0.509804 -0.00392157 0
0.513725 -0.00392157 0
0.517647 -0.00392157 0
0.521569 -0.00392157 0
0.52549 -0.00392157 0
0.529412 -0.00392157 0
0.533333 -0.00392157 0
0.537255 -0.00392157 0
0.541176 -0.00392157 0
0.545098 -0.00392157 0
0.54902 -0.00392157 0
0.552941 -0.00392157 0
0.556863 -0.00392157 0
0.560784 -0.00392157 0
0.564706 -0.00392157 0
0.568627 -0.00392157 0
0.572549 -0.00392157 0
0.576471 -0.00392157 0
0.580392 -0.00392157 0
0.584314 -0.00392157 0
0.588235 -0.00392157 0
0.592157 -0.00392157 0
0.596078 -0.00392157 0
0.6 -0.00392157 0
0.603922 -0.00392157 0
0.607843 -0.00392157 0
0.611765 -0.00392157 0
0.615686 -0.00392157 0
0.619608 -0.00392157 0
0.623529 -0.00392157 0
0.627451 -0.00392157 0
0.631373 -0.00392157 0
0.635294 -0.00392157 0
0.639216 -0.00392157 0
0.643137 -0.00392157 0
0.647059 -0.00392157 0
0.65098 -0.00392157 0
0.654902 -0.00392157 0
0.658824 -0.00392157 0
0.662745 -0.00392157 0
0.666667 -0.00392157 0
0.670588 -0.00392157 0
0.67451 -0.00392157 0
0.678431 -0.00392157 0
0.682353 -0.00392157 0
0.686275 -0.00392157 0
0.690196 -0.00392157 0
0.694118 -0.00392157 0
0.698039 -0.00392157 0
0.701961 -0.00392157 0
0.705882 -0.00392157 0
0.709804 -0.00392157 0
0.713725 -0.00392157 0
0.717647 -0.00392157 0
0.721569 -0.00392157 0
0.72549 -0.00392157 0
0.729412 -0.00392157 0
0.733333 -0.00392157 0
0.737255 -0.00392157 0
0.741176 -0.00392157 0
0.745098 -0.00392157 0
0.74902 -0.00392157 0
0.752941 -0.00392157 0
0.756863 -0.00392157 0
0.760784 -0.00392157 0
0.764706 -0.00392157 0
0.768627 -0.00392157 0
0.772549 -0.00392157 0
0.776471 -0.00392157 0
0.780392 -0.00392157 0
0.784314 -0.00392157 0
0.788235 -0.00392157 0
0.792157 -0.00392157 0
0.796078 -0.00392157 0
0.8 -0.00392157 0
0.803922 -0.00392157 0
0.807843 -0.00392157 0
0.811765 -0.00392157 0
0.815686 -0.00392157 0
0.819608 -0.00392157 0
0.823529 -0.00392157 0
0.827451 -0.00392157 0
0.831373 -0.00392157 0
0.835294 -0.00392157 0
0.839216 -0.00392157 0
0.843137 -0.00392157 0
0.847059 -0.00392157 0
0.85098 -0.00392157 0
0.854902 -0.00392157 0
0.858824 -0.00392157 0
0.862745 -0.00392157 0
0.866667 -0.00392157 0
0.870588 -0.00392157 0
0.87451 -0.00392157 0
0.878431 -0.00392157 0
0.882353 -0.00392157 0
0.886275 -0.00392157 0
0.890196 -0.00392157 0
0.894118 -0.00392157 0
0.898039 -0.00392157 0
0.901961 -0.00392157 0
0.905882 -0.00392157 0
0.909804 -0.00392157 0
0.913725 -0.00392157 0
0.917647 -0.00392157 0
0.921569 -0.00392157 0
0.92549 -0.00392157 0
0.929412 -0.00392157 0
0.933333 -0.00392157 0
0.937255 -0.00392157 0
0.941176 -0.00392157 0
0.945098 -0.00392157 0
0.94902 -0.00392157 0
0.952941 -0.00392157 0
0.956863 -0.00392157 0
0.960784 -0.00392157 0
0.964706 -0.00392157 0
0.968627 -0.00392157 0
0.972549 -0.00392157 0
0.976471 -0.00392157 0
0.980392 -0.00392157 0
0.984314 -0.00392157 0
0.988235 -0.00392157 0
0.992157 -0.00392157 0
0.996078 -0.00392157 0
1 -0.00392157 0
0 0 0
0.00392157 0 0.000607035
0.00784314 0 0.0012137
0.0117647 0 0.00181963
0.0156863 0 0.00242446
0.0196078 0 0.00302781
0.0235294 0 0.00362932
0.027451 0 0.00422863
0.0313725 0 0.00482538
0.0352941 0 0.00541919
0.0392157 0 0.00600972
0.0431373 0 0.00659659
0.0470588 0 0.00717947
0.0509804 0 0.00775798
0.054902 0 0.00833178
0.0588235 0 0.00890053
0.0627451 0 0.00946387
0.0666667 0 0.0100215
0.0705882 0 0.010573
0.0745098 0 0.0111181
0.0784314 0 0.0116564
0.0823529 0 0.0121877
0.0862745 0 0.0127115
0.0901961 0 0.0132277
0.0941176 0 0.0137358
0.0980392 0 0.0142356
0.101961 0 0.0147267
0.105882 0 0.0152089
0.109804 0 0.0156819
0.113725 0 0.0161453
0.117647 0 0.016599
0.121569 0 0.0170426
0.12549 0 0.0174758
0.129412 0 0.0178984
0.133333 0 0.0183101
0.137255 0 0.0187108
0.141176 0 0.0191
0.145098 0 0.0194777
0.14902 0 0.0198435
0.152941 0 0.0201973
